2018-12-14 10:58:15,451 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:58:18,496 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 10:58:31,434 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:58:31,434 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:58:31,434 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:58:35,922 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 10:58:58,905 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:58:58,905 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:58:58,905 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:59:03,233 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
02\x01\x00\x02\x01\x000(0\r\x06\x08+\x06\x01\x02\x01\x01\x03\x00C\x01\x000\x17\x06\n+\x06\x01\x06\x03\x01\x01\x04\x01\x00\x06\t+\x06\x01\x06\x03\x01\x01\x05\x01' ('192.168.13.66', 51879)
2018-12-14 11:00:24,848 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:00:24,848 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:00:24,848 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:00:27,593 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:01:11,264 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:01:11,264 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:01:11,264 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:01:15,626 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:01:23,173 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:01:32,732 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:02:16,807 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:02:16,807 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:02:16,807 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:03:24,785 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:03:24,785 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:03:24,785 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:03:29,294 | Snmp_Trap | INFO | Received trap is: b'0B\x02\x01\x01\x04\x06public\xa75\x02\x03\x04\x99\xfd\x02\x01\x00\x02\x01\x000(0\r\x06\x08+\x06\x01\x02\x01\x01\x03\x00C\x01\x000\x17\x06\n+\x06\x01\x06\x03\x01\x01\x04\x01\x00\x06\t+\x06\x01\x06\x03\x01\x01\x05\x01' ('192.168.13.66', 53822)
2018-12-14 11:03:29,294 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:08:41,385 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:08:41,385 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:08:41,385 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:08:49,144 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
\xe9\x02\x01\x00\x02\x01\x000(0\r\x06\x08+\x06\x01\x02\x01\x01\x03\x00C\x01\x000\x17\x06\n+\x06\x01\x06\x03\x01\x01\x04\x01\x00\x06\t+\x06\x01\x06\x03\x01\x01\x05\x01' ('192.168.13.66', 49266)
2018-12-14 11:09:15,190 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:09:15,190 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:09:15,191 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 11:09:18,541 | Snmp_Trap | INFO | Received trap is: b'0C\x02\x01\x01\x04\x06public\xa76\x02\x04\x00\xbb\xbcs\x02\x01\x00\x02\x01\x000(0\r\x06\x08+\x06\x01\x02\x01\x01\x03\x00C\x01\x000\x17\x06\n+\x06\x01\x06\x03\x01\x01\x04\x01\x00\x06\t+\x06\x01\x06\x03\x01\x01\x05\x01' ('192.168.13.66', 61518)
2018-12-14 11:09:18,541 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:10:30,053 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:10:30,054 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:10:43,995 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 11:10:43,997 | Snmp_Trap | INFO | Notification message from (1, 3, 6, 1, 6, 1, 1):('192.168.13.66', 59433): 
2018-12-14 11:10:43,998 | Snmp_Trap | INFO | Var-binds:
2018-12-14 11:10:43,998 | Snmp_Trap | INFO | 1.3.6.1.2.1.1.3.0 = 0
2018-12-14 11:10:43,999 | Snmp_Trap | INFO | 1.3.6.1.6.3.1.1.4.1.0 = 1.3.6.1.6.3.1.1.5.1
2018-12-14 11:14:39,719 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 11:14:39,719 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 11:14:46,925 | Snmp_Trap | INFO | Notification message from (1, 3, 6, 1, 6, 1, 1):('192.168.13.66', 52797): 
2018-12-14 11:14:46,925 | Snmp_Trap | INFO | Var-binds:
2018-12-14 11:14:46,926 | Snmp_Trap | INFO | 1.3.6.1.2.1.1.3.0 = 0
2018-12-14 11:14:46,926 | Snmp_Trap | INFO | 1.3.6.1.6.3.1.1.4.1.0 = 1.3.6.1.6.3.1.1.5.1
2018-12-14 11:33:49,194 | Snmp_Trap | INFO | Notification message from (1, 3, 6, 1, 6, 1, 1):('192.168.12.57', 161): 
